year,team,date_game,game_location,opp_name,goals,opp_goals,game_outcome,overtimes,shots,pen_min,goals_pp,chances_pp,goals_sh,shots_against,pen_min_opp,goals_against_pp,opp_chances_pp,goals_against_sh,corsi_for,corsi_against,corsi_pct,fenwick_for,fenwick_against,fenwick_pct,faceoff_wins,faceoff_losses,faceoff_percentage,zs_offense_pct,pdo
1980,WSH,1979-10-16,H,Los Angeles Kings,8,6,W,,29,20,3,,0,38,8,3,,0,,,,,,,,,,,
1980,WSH,1979-10-19,H,Toronto Maple Leafs,3,5,L,,26,9,0,,0,41,10,1,,0,,,,,,,,,,,
1977,WSH,1976-10-24,A,Buffalo Sabres,1,2,L,,34,8,0,,0,35,10,0,,0,,,,,,,,,,,
1977,WSH,1976-10-29,A,Colorado Rockies,2,1,W,,23,30,0,,0,31,16,1,,0,,,,,,,,,,,
1975,WSH,1974-11-07,A,Boston Bruins,4,10,L,,28,8,2,,0,41,6,0,,0,,,,,,,,,,,
1975,WSH,1974-11-09,A,Philadelphia Flyers,2,6,L,,27,19,1,,0,45,33,4,,2,,,,,,,,,,,
1979,WSH,1978-10-20,H,Los Angeles Kings,4,6,L,,33,14,1,,0,22,16,1,,0,,,,,,,,,,,
1979,WSH,1978-10-21,A,Pittsburgh Penguins,1,5,L,,38,29,0,,0,45,31,3,,0,,,,,,,,,,,
1976,WSH,1975-10-24,H,Toronto Maple Leafs,3,6,L,,25,11,1,,0,28,19,1,,0,,,,,,,,,,,
1976,WSH,1975-10-26,A,Chicago Black Hawks,7,5,W,,24,8,0,,0,53,8,1,,0,,,,,,,,,,,
1984,WSH,1983-10-06,A,Philadelphia Flyers,1,4,L,,32,6,0,,0,31,6,1,,0,,,,,,,,,,,
1982,WSH,1981-10-14,H,Philadelphia Flyers,4,5,L,,25,8,0,,0,41,10,1,,1,,,,,,,,,,,
1982,WSH,1981-10-15,A,Philadelphia Flyers,2,5,L,,32,55,1,,0,20,63,2,,0,,,,,,,,,,,
1978,WSH,1977-11-02,H,Chicago Black Hawks,2,2,T,,21,4,1,,0,33,10,0,,0,,,,,,,,,,,
1978,WSH,1977-11-03,A,Philadelphia Flyers,1,4,L,,16,6,0,,0,34,9,0,,0,,,,,,,,,,,
1981,WSH,1980-10-18,H,New York Rangers,8,2,W,,28,50,2,,1,21,50,1,,0,,,,,,,,,,,
1981,WSH,1980-10-19,A,Chicago Black Hawks,4,8,L,,31,44,1,,0,40,50,3,,1,,,,,,,,,,,
1983,WSH,1982-10-09,H,Philadelphia Flyers,2,3,L,,37,27,1,,0,33,29,1,,0,,,,,,,,,,,
1983,WSH,1982-10-10,A,Philadelphia Flyers,4,6,L,,33,6,2,,0,26,8,0,,0,,,,,,,,,,,
1983,WSH,1982-10-13,A,Toronto Maple Leafs,5,3,W,,22,15,1,,0,21,13,0,,0,,,,,,,,,,,
1985,WSH,1984-10-13,H,Philadelphia Flyers,2,4,L,,37,10,2,,0,26,12,0,,0,,,,,,,,,,,
1985,WSH,1984-10-14,A,Chicago Black Hawks,5,3,W,,26,6,1,,0,21,6,0,,0,,,,,,,,,,,
1980,WSH,1979-10-20,A,Pittsburgh Penguins,1,5,L,,23,21,0,,0,42,15,0,,0,,,,,,,,,,,
1980,WSH,1979-10-24,A,Los Angeles Kings,3,5,L,,24,25,1,,0,25,17,1,,0,,,,,,,,,,,
1977,WSH,1976-10-31,A,Chicago Black Hawks,4,5,L,,32,6,1,,0,36,8,0,,0,,,,,,,,,,,
1977,WSH,1976-11-03,A,Atlanta Flames,0,7,L,,22,15,0,,0,42,17,2,,2,,,,,,,,,,,
1975,WSH,1974-11-10,H,Montreal Canadiens,1,11,L,,17,12,0,,0,42,8,2,,0,,,,,,,,,,,
1975,WSH,1974-11-12,H,Atlanta Flames,2,2,T,,27,22,1,,0,25,18,0,,0,,,,,,,,,,,
1979,WSH,1978-10-25,A,Chicago Black Hawks,2,2,T,,24,21,0,,0,31,21,0,,0,,,,,,,,,,,
1979,WSH,1978-10-28,A,Los Angeles Kings,1,5,L,,31,24,0,,0,33,24,1,,0,,,,,,,,,,,
1979,WSH,1978-11-01,H,Pittsburgh Penguins,6,4,W,,28,25,0,,0,25,17,1,,0,,,,,,,,,,,
1976,WSH,1975-10-28,A,Los Angeles Kings,0,6,L,,16,2,0,,0,40,4,0,,0,,,,,,,,,,,
1976,WSH,1975-10-30,A,Kansas City Scouts,6,2,W,,30,18,2,,0,32,20,0,,0,,,,,,,,,,,
1986,WSH,1985-10-10,A,New York Rangers,2,4,L,,29,8,2,,0,25,10,0,,0,,,,,,,,,,,
1987,WSH,1986-10-09,A,Pittsburgh Penguins,4,5,L,,18,22,0,,0,32,19,2,,0,,,,,,,,,,,
1984,WSH,1983-10-08,H,New York Islanders,7,8,L,OT,39,25,4,,1,28,23,2,,0,,,,,,,,,,,
1982,WSH,1981-10-17,H,Buffalo Sabres,2,4,L,,28,6,1,,0,30,6,2,,0,,,,,,,,,,,
1982,WSH,1981-10-21,H,Quebec Nordiques,3,6,L,,24,16,1,,0,43,14,2,,0,,,,,,,,,,,
1978,WSH,1977-11-05,H,Philadelphia Flyers,1,3,L,,29,16,1,,0,35,23,0,,0,,,,,,,,,,,
1978,WSH,1977-11-08,H,Los Angeles Kings,1,5,L,,24,16,0,,0,34,18,3,,1,,,,,,,,,,,
1981,WSH,1980-10-21,H,Chicago Black Hawks,2,0,W,,37,6,1,,0,24,6,,,,,,,,,,,,,,
1981,WSH,1980-10-24,H,St. Louis Blues,2,3,L,,30,19,0,,1,25,17,0,,0,,,,,,,,,,,
1983,WSH,1982-10-16,H,Buffalo Sabres,2,9,L,,32,27,1,,0,36,29,3,,1,,,,,,,,,,,
1983,WSH,1982-10-20,H,Montreal Canadiens,3,3,T,,28,12,1,,0,30,12,1,,0,,,,,,,,,,,
1985,WSH,1984-10-16,H,Los Angeles Kings,5,3,W,,34,18,1,,0,18,12,2,,0,,,,,,,,,,,
1985,WSH,1984-10-20,H,New York Rangers,5,6,L,,22,51,1,,1,32,38,4,,0,,,,,,,,,,,
1985,WSH,1984-10-24,A,Edmonton Oilers,3,3,T,OT,47,10,2,,0,33,16,2,,0,,,,,,,,,,,
1980,WSH,1979-10-27,A,Vancouver Canucks,3,5,L,,19,26,1,,1,25,30,1,,0,,,,,,,,,,,
1980,WSH,1979-10-28,A,Edmonton Oilers,6,4,W,,33,10,0,,0,17,8,3,,0,,,,,,,,,,,
1977,WSH,1976-11-05,H,Buffalo Sabres,2,3,L,,29,8,0,,0,24,12,0,,1,,,,,,,,,,,
1977,WSH,1976-11-07,H,Minnesota North Stars,4,1,W,,23,32,1,,0,18,29,0,,0,,,,,,,,,,,
1975,WSH,1974-11-13,A,Atlanta Flames,3,4,L,,25,6,0,,0,41,6,1,,0,,,,,,,,,,,
1975,WSH,1974-11-16,A,Pittsburgh Penguins,1,8,L,,27,8,1,,0,42,8,0,,0,,,,,,,,,,,
1979,WSH,1978-11-02,A,Montreal Canadiens,2,4,L,,18,20,0,,0,43,14,0,,0,,,,,,,,,,,
1979,WSH,1978-11-04,A,New York Islanders,1,4,L,,17,9,1,,0,45,11,1,,1,,,,,,,,,,,
1976,WSH,1975-11-01,A,New York Islanders,3,7,L,,30,2,0,,0,32,10,0,,1,,,,,,,,,,,
1976,WSH,1975-11-05,H,Los Angeles Kings,1,3,L,,21,6,0,,0,27,12,0,,0,,,,,,,,,,,
1986,WSH,1985-10-12,A,New Jersey Devils,1,4,L,,31,21,1,,0,17,36,1,,0,,,,,,,,,,,
1986,WSH,1985-10-13,H,Philadelphia Flyers,2,4,L,,33,21,0,,0,24,23,1,,0,,,,,,,,,,,
1987,WSH,1986-10-11,H,Philadelphia Flyers,1,6,L,,35,26,1,,0,28,28,2,,1,,,,,,,,,,,
1987,WSH,1986-10-13,A,New York Rangers,7,6,W,OT,34,37,2,,0,45,35,3,,1,,,,,,,,,,,
1988,WSH,1987-10-08,A,Boston Bruins,3,4,L,,26,20,0,,0,34,15,1,,0,,,,,,,,,,,
1984,WSH,1983-10-09,A,Buffalo Sabres,2,5,L,,15,30,0,,0,40,16,1,,0,,,,,,,,,,,
1984,WSH,1983-10-13,A,New York Rangers,3,4,L,,27,14,0,,1,29,16,0,,1,,,,,,,,,,,
1982,WSH,1981-10-23,H,New York Islanders,2,4,L,,26,9,0,,0,28,9,1,,0,,,,,,,,,,,
1978,WSH,1977-11-09,A,Detroit Red Wings,1,1,T,,18,14,1,,0,29,12,1,,0,,,,,,,,,,,
1978,WSH,1977-11-11,H,Toronto Maple Leafs,1,3,L,,31,11,0,,0,16,13,0,,0,,,,,,,,,,,
1981,WSH,1980-10-25,A,St. Louis Blues,3,3,T,,26,10,0,,0,33,10,1,,0,,,,,,,,,,,
1981,WSH,1980-10-29,A,Los Angeles Kings,2,4,L,,26,8,1,,0,34,6,1,,0,,,,,,,,,,,
1983,WSH,1982-10-21,A,New York Islanders,3,6,L,,25,12,2,,0,24,20,2,,0,,,,,,,,,,,
