year,team,date_game,game_location,opp_name,goals,opp_goals,game_outcome,overtimes,shots,pen_min,goals_pp,chances_pp,goals_sh,shots_against,pen_min_opp,goals_against_pp,opp_chances_pp,goals_against_sh,corsi_for,corsi_against,corsi_pct,fenwick_for,fenwick_against,fenwick_pct,faceoff_wins,faceoff_losses,faceoff_percentage,zs_offense_pct,pdo
1989,CHI,1988-10-16,H,Boston Bruins,3,10,L,,28,35,1,,0,32,49,5,,0,,,,,,,,,,,
1989,CHI,1988-10-18,A,Detroit Red Wings,3,4,L,OT,29,44,0,,0,49,40,0,,0,,,,,,,,,,,
1987,CHI,1986-10-28,A,Toronto Maple Leafs,1,2,L,,21,8,0,,0,21,10,0,,1,,,,,,,,,,,
1987,CHI,1986-10-29,A,Detroit Red Wings,2,5,L,,22,22,0,,1,34,18,1,,0,,,,,,,,,,,
1993,CHI,1992-10-15,H,Edmonton Oilers,3,4,L,OT,37,23,2,,1,29,25,1,,1,,,,,,,,,,,
1993,CHI,1992-10-17,A,Toronto Maple Leafs,3,4,L,,27,55,1,,0,28,36,2,,0,,,,,,,,,,,
1996,CHI,1995-10-10,A,Los Angeles Kings,5,6,L,OT,34,10,2,,0,34,12,3,,0,,,,,,,,,,,
1988,CHI,1987-11-06,A,Winnipeg Jets,3,6,L,,26,16,1,,1,42,16,1,,0,,,,,,,,,,,
1988,CHI,1987-11-08,H,Minnesota North Stars,8,5,W,,39,30,5,,1,36,29,2,,0,,,,,,,,,,,
2000,CHI,1999-10-04,A,San Jose Sharks,1,7,L,,28,104,1,,0,43,99,4,,0,,,,,,,,,,,
1990,CHI,1989-10-12,H,Toronto Maple Leafs,9,6,W,,38,16,2,,0,29,10,4,,0,,,,,,,,,,,
1990,CHI,1989-10-14,A,St. Louis Blues,1,2,L,,20,13,1,,0,21,15,0,,0,,,,,,,,,,,
1995,CHI,1995-01-23,A,Winnipeg Jets,3,5,L,,43,12,1,,0,20,29,2,,1,,,,,,,,,,,
1995,CHI,1995-01-25,H,Edmonton Oilers,5,1,W,,37,38,2,,1,18,46,0,,0,,,,,,,,,,,
1999,CHI,1998-10-13,A,Dallas Stars,1,3,L,,14,23,0,,0,31,15,1,,0,,,,,,,,,,,
1999,CHI,1998-10-15,H,Mighty Ducks of Anaheim,3,5,L,,26,14,1,,0,31,18,0,,1,,,,,,,,,,,
1998,CHI,1997-10-04,A,San Jose Sharks,2,3,L,,27,18,1,,0,20,24,1,,0,,,,,,,,,,,
1998,CHI,1997-10-09,H,Tampa Bay Lightning,1,4,L,,25,14,0,,0,25,10,1,,0,,,,,,,,,,,
1991,CHI,1990-10-14,H,Calgary Flames,1,3,L,,19,37,1,,0,28,22,1,,0,,,,,,,,,,,
1991,CHI,1990-10-16,A,Detroit Red Wings,2,3,L,,20,16,1,,0,28,10,0,,0,,,,,,,,,,,
1992,CHI,1991-10-10,H,Vancouver Canucks,7,6,W,,33,47,2,,0,34,17,3,,0,,,,,,,,,,,
1992,CHI,1991-10-12,A,Washington Capitals,7,2,W,,32,17,1,,0,27,19,2,,0,,,,,,,,,,,
1994,CHI,1993-10-12,A,Dallas Stars,3,3,T,OT,31,24,1,,0,31,26,0,,0,,,,,,,,,,,
1994,CHI,1993-10-14,H,Hartford Whalers,2,6,L,,37,96,1,,0,24,53,4,,1,,,,,,,,,,,
1989,CHI,1988-10-20,A,St. Louis Blues,0,2,L,,35,24,0,,0,32,26,0,,0,,,,,,,,,,,
1989,CHI,1988-10-22,A,Pittsburgh Penguins,4,7,L,,40,67,1,,0,42,49,3,,1,,,,,,,,,,,
1987,CHI,1986-11-01,A,Minnesota North Stars,6,5,W,,20,24,3,,1,30,20,2,,0,,,,,,,,,,,
1987,CHI,1986-11-02,A,St. Louis Blues,3,7,L,,32,38,0,,0,39,37,4,,0,,,,,,,,,,,
1993,CHI,1992-10-18,H,Vancouver Canucks,3,1,W,,36,23,0,,0,23,23,0,,0,,,,,,,,,,,
1993,CHI,1992-10-21,A,Buffalo Sabres,1,4,L,,34,31,0,,0,33,36,3,,0,,,,,,,,,,,
1996,CHI,1995-10-12,H,Pittsburgh Penguins,5,1,W,,30,17,1,,1,29,27,0,,1,,,,,,,,,,,
1996,CHI,1995-10-14,A,Hartford Whalers,2,3,L,,28,24,1,,0,33,14,1,,0,,,,,,,,,,,
1988,CHI,1987-11-11,H,Detroit Red Wings,6,3,W,,41,17,5,,0,40,23,0,,0,,,,,,,,,,,
1988,CHI,1987-11-14,A,Montreal Canadiens,0,3,L,,33,8,0,,0,24,12,0,,1,,,,,,,,,,,
2000,CHI,1999-10-06,A,Vancouver Canucks,4,5,L,,20,15,1,,0,33,15,1,,1,,,,,,,,,,,
1990,CHI,1989-10-15,H,Detroit Red Wings,3,0,W,,28,23,2,,0,21,23,,,,,,,,,,,,,,
1990,CHI,1989-10-17,A,New York Rangers,3,3,T,OT,29,14,0,,0,31,16,1,,0,,,,,,,,,,,
1995,CHI,1995-01-27,H,Toronto Maple Leafs,4,1,W,,28,24,0,,0,19,14,1,,0,,,,,,,,,,,
1999,CHI,1998-10-17,H,Dallas Stars,4,3,W,,36,18,1,,0,29,14,3,,0,,,,,,,,,,,
1998,CHI,1997-10-10,A,Dallas Stars,0,7,L,,14,15,0,,0,25,15,1,,1,,,,,,,,,,,
1998,CHI,1997-10-13,A,Phoenix Coyotes,1,2,L,,35,41,0,,0,24,39,1,,0,,,,,,,,,,,
1991,CHI,1990-10-18,H,Toronto Maple Leafs,3,0,W,,49,21,2,,0,20,27,,,,,,,,,,,,,,
1992,CHI,1991-10-13,H,San Jose Sharks,7,3,W,,39,72,2,,2,31,44,0,,0,,,,,,,,,,,
1992,CHI,1991-10-17,H,Edmonton Oilers,4,2,W,,30,12,1,,0,20,16,1,,0,,,,,,,,,,,
