year,team,date_game,game_location,opp_name,goals,opp_goals,game_outcome,overtimes,shots,pen_min,goals_pp,chances_pp,goals_sh,shots_against,pen_min_opp,goals_against_pp,opp_chances_pp,goals_against_sh,corsi_for,corsi_against,corsi_pct,fenwick_for,fenwick_against,fenwick_pct,faceoff_wins,faceoff_losses,faceoff_percentage,zs_offense_pct,pdo
1930,NYR,1929-11-28,A,Chicago Black Hawks,3,2,W,,0,14,0,,0,0,21,0,,0,,,,,,,,,,,
1928,NYR,1927-12-13,A,Boston Bruins,3,2,W,,0,20,0,,0,0,18,1,,0,,,,,,,,,,,
1928,NYR,1927-12-15,H,Detroit Cougars,1,2,L,,0,4,0,,0,0,6,0,,0,,,,,,,,,,,
1932,NYR,1931-11-19,H,Boston Bruins,2,1,W,,0,10,0,,0,0,6,0,,0,,,,,,,,,,,
1932,NYR,1931-11-21,A,Toronto Maple Leafs,5,3,W,,0,8,0,,0,0,4,0,,0,,,,,,,,,,,
1931,NYR,1930-11-25,A,Montreal Maroons,2,5,L,,0,6,0,,0,0,4,0,,0,,,,,,,,,,,
1931,NYR,1930-11-27,H,Chicago Black Hawks,0,4,L,,0,6,0,,0,0,22,0,,0,,,,,,,,,,,
1929,NYR,1928-12-09,A,Detroit Cougars,2,2,T,OT,0,16,0,,0,0,8,0,,0,,,,,,,,,,,
1929,NYR,1928-12-11,H,Toronto Maple Leafs,3,2,W,,0,2,0,,0,0,8,0,,0,,,,,,,,,,,
1927,NYR,1927-01-01,A,Chicago Black Hawks,4,0,W,,0,12,0,,0,0,20,0,,0,,,,,,,,,,,
1927,NYR,1927-01-06,H,Montreal Canadiens,1,0,W,,0,12,0,,0,0,8,0,,0,,,,,,,,,,,
1930,NYR,1929-12-01,A,Detroit Cougars,3,4,L,,0,12,0,,0,0,6,0,,0,,,,,,,,,,,
1930,NYR,1929-12-08,H,Pittsburgh Pirates,5,1,W,,0,8,0,,0,0,10,0,,0,,,,,,,,,,,
1928,NYR,1927-12-20,H,Pittsburgh Pirates,2,0,W,,0,16,0,,0,0,18,0,,0,,,,,,,,,,,
1928,NYR,1927-12-25,H,Chicago Black Hawks,2,0,W,,0,8,0,,0,0,8,0,,0,,,,,,,,,,,
1932,NYR,1931-11-24,H,Chicago Black Hawks,1,1,T,OT,0,12,0,,0,0,10,0,,0,,,,,,,,,,,
1932,NYR,1931-11-29,A,Chicago Black Hawks,5,0,W,,0,10,0,,0,0,6,0,,0,,,,,,,,,,,
1931,NYR,1930-11-29,A,Philadelphia Quakers,6,3,W,,0,16,0,,0,0,12,0,,0,,,,,,,,,,,
1931,NYR,1930-12-04,A,Montreal Canadiens,4,5,L,,0,20,0,,0,0,17,0,,0,,,,,,,,,,,
1929,NYR,1928-12-13,A,Montreal Canadiens,3,2,W,OT,0,8,0,,0,0,10,0,,0,,,,,,,,,,,
1929,NYR,1928-12-16,H,Detroit Cougars,3,0,W,,0,6,0,,0,0,4,0,,0,,,,,,,,,,,
1927,NYR,1927-01-09,H,Detroit Cougars,4,1,W,,0,4,0,,0,0,10,0,,0,,,,,,,,,,,
1927,NYR,1927-01-11,A,Montreal Maroons,3,2,W,,0,12,0,,0,0,16,0,,0,,,,,,,,,,,
1930,NYR,1929-12-12,H,Montreal Canadiens,8,3,W,,0,12,0,,0,0,19,0,,0,,,,,,,,,,,
1930,NYR,1929-12-14,A,Toronto Maple Leafs,6,7,L,OT,0,12,0,,0,0,12,0,,0,,,,,,,,,,,
