year,team,date_game,game_location,opp_name,goals,opp_goals,game_outcome,overtimes,shots,pen_min,goals_pp,chances_pp,goals_sh,shots_against,pen_min_opp,goals_against_pp,opp_chances_pp,goals_against_sh,corsi_for,corsi_against,corsi_pct,fenwick_for,fenwick_against,fenwick_pct,faceoff_wins,faceoff_losses,faceoff_percentage,zs_offense_pct,pdo
2000,SJS,1999-10-02,H,Calgary Flames,5,3,W,,23,12,1,,0,34,14,2,,0,,,,,,,,,,,
2003,SJS,2002-10-10,H,Detroit Red Wings,3,6,L,,26,6,2,,0,27,14,1,,2,,,,,,,,,,,
1998,SJS,1997-10-07,H,Ottawa Senators,0,1,L,,23,11,0,,0,14,15,1,,0,,,,,,,,,,,
1998,SJS,1997-10-09,A,Colorado Avalanche,2,3,L,,31,14,0,,0,27,14,1,,0,,,,,,,,,,,
1992,SJS,1991-10-29,A,New York Islanders,4,8,L,,28,17,1,,0,34,13,3,,0,,,,,,,,,,,
1992,SJS,1991-10-31,A,Philadelphia Flyers,2,5,L,,27,21,0,,1,31,19,2,,1,,,,,,,,,,,
1996,SJS,1995-10-25,H,Winnipeg Jets,1,6,L,,28,25,1,,0,37,16,1,,0,,,,,,,,,,,
1996,SJS,1995-10-28,H,Dallas Stars,3,4,L,,24,14,1,,1,28,18,0,,0,,,,,,,,,,,
1994,SJS,1993-10-26,H,Edmonton Oilers,3,1,W,,32,10,2,,0,16,25,0,,0,,,,,,,,,,,
1999,SJS,1998-10-20,A,Philadelphia Flyers,1,3,L,,18,10,1,,0,37,8,1,,0,,,,,,,,,,,
1999,SJS,1998-10-22,A,Chicago Blackhawks,2,2,T,OT,25,23,0,,0,33,34,1,,0,,,,,,,,,,,
1993,SJS,1992-10-24,A,Toronto Maple Leafs,1,5,L,,26,37,1,,0,37,35,1,,0,,,,,,,,,,,
2002,SJS,2001-10-04,H,Detroit Red Wings,3,4,L,OT,21,14,1,,0,39,16,0,,2,,,,,,,,,,,
2001,SJS,2000-10-06,H,St. Louis Blues,1,4,L,,19,16,0,,0,29,16,1,,0,,,,,,,,,,,
1997,SJS,1996-10-10,A,Phoenix Coyotes,1,4,L,,25,34,0,,0,29,30,1,,0,,,,,,,,,,,
1995,SJS,1995-02-04,A,Winnipeg Jets,3,3,T,OT,32,28,1,,0,38,18,1,,0,,,,,,,,,,,
1995,SJS,1995-02-06,A,Toronto Maple Leafs,3,7,L,,29,12,0,,1,31,6,5,,0,,,,,,,,,,,
2000,SJS,1999-10-04,H,Chicago Blackhawks,7,1,W,,43,99,4,,0,28,104,1,,0,,,,,,,,,,,
2000,SJS,1999-10-07,H,Edmonton Oilers,3,2,W,OT,43,14,2,,0,26,31,1,,0,,,,,,,,,,,
2003,SJS,2002-10-12,A,Vancouver Canucks,3,5,L,,25,14,0,,0,22,6,2,,0,,,,,,,,,,,
2003,SJS,2002-10-17,H,Edmonton Oilers,4,3,W,,31,12,0,,1,25,8,2,,0,,,,,,,,,,,
1998,SJS,1997-10-11,H,Boston Bruins,5,2,W,,25,10,0,,0,18,22,2,,0,,,,,,,,,,,
1998,SJS,1997-10-13,H,Philadelphia Flyers,2,3,L,OT,45,22,0,,0,24,14,1,,0,,,,,,,,,,,
1992,SJS,1991-11-02,A,Quebec Nordiques,3,6,L,,32,25,1,,0,28,23,1,,0,,,,,,,,,,,
1992,SJS,1991-11-04,A,Toronto Maple Leafs,1,4,L,,22,18,1,,0,44,16,2,,0,,,,,,,,,,,
1996,SJS,1995-10-30,A,Vancouver Canucks,3,4,L,,22,18,1,,0,38,18,0,,0,,,,,,,,,,,
1996,SJS,1995-10-31,H,New York Rangers,3,5,L,,25,18,1,,0,26,14,1,,0,,,,,,,,,,,
