year,team,date_game,game_location,opp_name,goals,opp_goals,game_outcome,overtimes,shots,pen_min,goals_pp,chances_pp,goals_sh,shots_against,pen_min_opp,goals_against_pp,opp_chances_pp,goals_against_sh,corsi_for,corsi_against,corsi_pct,fenwick_for,fenwick_against,fenwick_pct,faceoff_wins,faceoff_losses,faceoff_percentage,zs_offense_pct,pdo
1988,EDM,1987-10-09,H,Detroit Red Wings,1,4,L,,26,23,1,,0,23,23,2,,0,,,,,,,,,,,
1986,EDM,1985-10-16,H,New York Islanders,6,4,W,,32,8,1,,0,36,4,0,,0,,,,,,,,,,,
1981,EDM,1980-10-24,H,Minnesota North Stars,2,4,L,,34,15,0,,0,31,19,0,,0,,,,,,,,,,,
1981,EDM,1980-10-26,H,Los Angeles Kings,4,4,T,,40,4,0,,0,23,6,0,,0,,,,,,,,,,,
1980,EDM,1979-11-08,A,Boston Bruins,2,4,L,,26,4,0,,0,36,10,1,,1,,,,,,,,,,,
1980,EDM,1979-11-11,H,Toronto Maple Leafs,3,6,L,,36,8,2,,0,32,12,1,,0,,,,,,,,,,,
1982,EDM,1981-10-24,A,Colorado Rockies,3,1,W,,53,10,1,,0,19,12,1,,0,,,,,,,,,,,
1982,EDM,1981-10-27,A,New York Islanders,3,4,L,,28,10,2,,0,34,14,1,,0,,,,,,,,,,,
1984,EDM,1983-10-16,H,Calgary Flames,5,1,W,,36,38,1,,0,37,34,0,,0,,,,,,,,,,,
1984,EDM,1983-10-19,A,Vancouver Canucks,10,7,W,,35,14,0,,0,29,6,1,,0,,,,,,,,,,,
1985,EDM,1984-10-21,H,Calgary Flames,6,4,W,,35,19,1,,2,46,24,1,,0,,,,,,,,,,,
1985,EDM,1984-10-24,H,Washington Capitals,3,3,T,OT,33,16,2,,0,47,10,2,,0,,,,,,,,,,,
1987,EDM,1986-10-12,A,Winnipeg Jets,3,5,L,,25,12,2,,0,33,10,2,,0,,,,,,,,,,,
1987,EDM,1986-10-15,H,Quebec Nordiques,5,2,W,,32,14,2,,0,30,14,2,,0,,,,,,,,,,,
1983,EDM,1982-10-17,A,Buffalo Sabres,4,6,L,,22,20,1,,0,36,12,3,,0,,,,,,,,,,,
1988,EDM,1987-10-11,A,Los Angeles Kings,9,2,W,,40,24,5,,1,35,30,0,,0,,,,,,,,,,,
1988,EDM,1987-10-14,H,Calgary Flames,4,5,L,,22,28,1,,0,33,28,1,,1,,,,,,,,,,,
1986,EDM,1985-10-18,H,Boston Bruins,3,2,W,,30,16,2,,0,38,12,1,,0,,,,,,,,,,,
1986,EDM,1985-10-20,A,Los Angeles Kings,8,5,W,,39,25,3,,1,46,27,3,,0,,,,,,,,,,,
1989,EDM,1988-10-07,H,New York Islanders,5,1,W,,43,32,0,,0,24,52,0,,0,,,,,,,,,,,
1981,EDM,1980-10-29,H,Toronto Maple Leafs,4,4,T,,33,8,1,,0,24,8,3,,0,,,,,,,,,,,
1980,EDM,1979-11-13,A,Washington Capitals,5,3,W,,24,10,0,,0,20,4,2,,0,,,,,,,,,,,
1980,EDM,1979-11-15,A,Philadelphia Flyers,3,5,L,,38,9,0,,1,35,9,0,,0,,,,,,,,,,,
1982,EDM,1981-10-28,A,New York Rangers,5,3,W,,29,12,3,,0,40,16,1,,0,,,,,,,,,,,
1982,EDM,1981-10-31,H,Quebec Nordiques,11,4,W,,40,20,3,,0,35,40,0,,1,,,,,,,,,,,
1984,EDM,1983-10-20,A,Los Angeles Kings,2,7,L,,38,11,1,,0,29,15,2,,1,,,,,,,,,,,
1985,EDM,1984-10-26,H,Los Angeles Kings,8,2,W,,30,6,1,,1,31,6,0,,0,,,,,,,,,,,
1985,EDM,1984-10-30,H,Vancouver Canucks,7,0,W,,32,22,1,,1,25,26,,,,,,,,,,,,,,
1987,EDM,1986-10-17,H,Detroit Red Wings,4,3,W,,32,20,2,,0,35,16,2,,0,,,,,,,,,,,
1987,EDM,1986-10-19,A,Los Angeles Kings,6,7,L,,29,24,1,,2,39,12,1,,0,,,,,,,,,,,
1983,EDM,1982-10-20,H,Hartford Whalers,4,2,W,,29,8,0,,0,20,24,0,,0,,,,,,,,,,,
1988,EDM,1987-10-16,A,Calgary Flames,5,2,W,,22,30,1,,0,37,34,0,,1,,,,,,,,,,,
1988,EDM,1987-10-17,H,Boston Bruins,4,3,W,,35,23,2,,0,31,19,2,,0,,,,,,,,,,,
1986,EDM,1985-10-23,A,Winnipeg Jets,3,9,L,,24,18,1,,1,35,18,2,,0,,,,,,,,,,,
1989,EDM,1988-10-09,H,Winnipeg Jets,5,4,W,,34,12,1,,2,30,18,1,,0,,,,,,,,,,,
1989,EDM,1988-10-12,H,Vancouver Canucks,2,6,L,,30,12,0,,0,40,18,1,,0,,,,,,,,,,,
1981,EDM,1980-11-01,H,Washington Capitals,2,2,T,,36,15,0,,0,27,21,1,,0,,,,,,,,,,,
1980,EDM,1979-11-17,A,Hartford Whalers,0,4,L,,23,36,0,,0,23,43,0,,0,,,,,,,,,,,
1980,EDM,1979-11-18,A,Buffalo Sabres,7,9,L,,23,10,1,,2,40,4,1,,0,,,,,,,,,,,
1982,EDM,1981-11-04,H,Toronto Maple Leafs,6,4,W,,27,6,1,,0,25,12,1,,0,,,,,,,,,,,
1984,EDM,1983-10-22,H,Vancouver Canucks,5,5,T,OT,36,12,3,,0,34,10,2,,0,,,,,,,,,,,
1985,EDM,1984-11-02,H,Chicago Black Hawks,4,2,W,,41,23,1,,0,24,19,1,,0,,,,,,,,,,,
1987,EDM,1986-10-21,H,Chicago Blackhawks,9,1,W,,45,11,1,,0,21,15,0,,0,,,,,,,,,,,
1983,EDM,1982-10-21,H,Boston Bruins,3,5,L,,18,32,1,,0,30,40,1,,0,,,,,,,,,,,
1988,EDM,1987-10-21,H,Los Angeles Kings,6,2,W,,19,15,1,,1,27,11,1,,0,,,,,,,,,,,
1988,EDM,1987-10-23,A,Vancouver Canucks,5,4,W,OT,30,12,0,,1,26,12,1,,0,,,,,,,,,,,
1991,EDM,1990-10-06,H,Winnipeg Jets,3,3,T,OT,34,32,1,,0,20,22,1,,0,,,,,,,,,,,
1986,EDM,1985-10-25,H,Calgary Flames,5,3,W,,33,23,2,,1,29,33,0,,1,,,,,,,,,,,
1989,EDM,1988-10-14,A,Calgary Flames,1,6,L,,18,74,0,,0,38,75,1,,1,,,,,,,,,,,
1981,EDM,1980-11-03,H,Pittsburgh Penguins,4,4,T,,18,14,1,,0,36,13,1,,0,,,,,,,,,,,
1981,EDM,1980-11-05,A,Vancouver Canucks,3,4,L,,22,21,2,,0,30,21,0,,0,,,,,,,,,,,
1980,EDM,1979-11-21,A,Toronto Maple Leafs,4,4,T,,40,6,2,,0,30,12,0,,0,,,,,,,,,,,
1982,EDM,1981-11-07,H,Colorado Rockies,4,5,L,,50,17,1,,0,27,15,1,,0,,,,,,,,,,,
1984,EDM,1983-10-26,A,Toronto Maple Leafs,3,8,L,,29,44,1,,0,36,12,1,,0,,,,,,,,,,,
1984,EDM,1983-10-29,A,Montreal Canadiens,3,1,W,,28,15,1,,0,22,17,0,,1,,,,,,,,,,,
1985,EDM,1984-11-04,A,Winnipeg Jets,2,1,W,,30,2,0,,0,24,6,0,,0,,,,,,,,,,,
1985,EDM,1984-11-06,A,Pittsburgh Penguins,3,3,T,OT,37,8,0,,0,36,6,0,,0,,,,,,,,,,,
1987,EDM,1986-10-22,A,Calgary Flames,3,6,L,,24,8,1,,0,29,8,0,,0,,,,,,,,,,,
1987,EDM,1986-10-24,H,Boston Bruins,6,2,W,,33,20,1,,1,25,12,0,,0,,,,,,,,,,,
1983,EDM,1982-10-24,A,Winnipeg Jets,5,9,L,,28,39,0,,0,52,20,4,,0,,,,,,,,,,,
1983,EDM,1982-10-27,H,Chicago Black Hawks,4,4,T,,30,11,0,,0,23,10,2,,0,,,,,,,,,,,
1988,EDM,1987-10-24,H,Vancouver Canucks,9,5,W,,28,27,1,,0,28,33,1,,1,,,,,,,,,,,
1988,EDM,1987-10-27,A,Quebec Nordiques,0,5,L,,21,35,0,,0,38,31,2,,0,,,,,,,,,,,
1991,EDM,1990-10-07,H,Toronto Maple Leafs,3,2,W,,32,14,2,,0,27,16,1,,0,,,,,,,,,,,
1991,EDM,1990-10-11,A,Los Angeles Kings,5,5,T,OT,30,35,1,,2,22,41,3,,0,,,,,,,,,,,
1986,EDM,1985-10-28,A,Calgary Flames,6,4,W,,38,32,2,,0,43,32,1,,0,,,,,,,,,,,
1986,EDM,1985-10-30,H,Winnipeg Jets,7,3,W,,44,10,0,,0,38,10,0,,0,,,,,,,,,,,
1989,EDM,1988-10-16,A,Winnipeg Jets,3,3,T,OT,37,12,2,,0,25,18,1,,0,,,,,,,,,,,
1989,EDM,1988-10-17,H,Minnesota North Stars,3,3,T,OT,30,23,0,,0,38,19,0,,0,,,,,,,,,,,
1981,EDM,1980-11-07,A,Winnipeg Jets,4,2,W,,20,18,0,,0,29,10,1,,0,,,,,,,,,,,
1981,EDM,1980-11-09,H,St. Louis Blues,4,6,L,,29,13,1,,0,41,13,2,,0,,,,,,,,,,,
1980,EDM,1979-11-21,A,Toronto Maple Leafs,4,4,T,,40,6,2,,0,30,12,0,,0,,,,,,,,,,,
1980,EDM,1979-11-24,H,Philadelphia Flyers,2,2,T,,30,12,0,,0,26,19,1,,0,,,,,,,,,,,
1982,EDM,1981-11-11,A,Hartford Whalers,4,4,T,,35,12,0,,0,43,12,2,,1,,,,,,,,,,,
1982,EDM,1981-11-12,A,Boston Bruins,2,5,L,,25,75,2,,0,21,74,1,,0,,,,,,,,,,,
1984,EDM,1983-10-30,A,New York Rangers,5,4,W,OT,41,4,0,,0,38,4,1,,0,,,,,,,,,,,
1985,EDM,1984-11-08,A,New Jersey Devils,3,2,W,,31,8,1,,0,32,4,0,,0,,,,,,,,,,,
1985,EDM,1984-11-09,A,Washington Capitals,8,5,W,,34,12,0,,1,47,6,2,,0,,,,,,,,,,,
1987,EDM,1986-10-26,H,Vancouver Canucks,3,2,W,,25,24,0,,0,31,18,1,,0,,,,,,,,,,,
1983,EDM,1982-10-29,H,Los Angeles Kings,6,3,W,,33,16,2,,1,42,14,1,,0,,,,,,,,,,,
1988,EDM,1987-10-28,A,Montreal Canadiens,1,3,L,,24,12,1,,0,23,12,1,,0,,,,,,,,,,,
1988,EDM,1987-10-31,A,New Jersey Devils,5,6,L,,32,44,2,,0,26,56,0,,1,,,,,,,,,,,
1993,EDM,1992-10-06,H,Vancouver Canucks,4,5,L,,34,14,3,,0,25,10,1,,1,,,,,,,,,,,
1991,EDM,1990-10-14,A,Vancouver Canucks,4,5,L,OT,27,19,0,,0,37,17,2,,0,,,,,,,,,,,
1991,EDM,1990-10-16,H,St. Louis Blues,2,5,L,,20,10,0,,0,37,10,2,,0,,,,,,,,,,,
1986,EDM,1985-11-01,H,Buffalo Sabres,0,2,L,,37,19,0,,0,39,25,0,,0,,,,,,,,,,,
1989,EDM,1988-10-19,H,Los Angeles Kings,8,6,W,,21,33,0,,2,37,12,1,,1,,,,,,,,,,,
1989,EDM,1988-10-23,A,Vancouver Canucks,5,6,L,,30,8,0,,2,26,6,1,,0,,,,,,,,,,,
1981,EDM,1980-11-13,A,Philadelphia Flyers,1,8,L,,20,8,0,,0,32,8,3,,0,,,,,,,,,,,
1980,EDM,1979-11-28,H,Chicago Black Hawks,4,2,W,,34,35,1,,0,18,41,1,,0,,,,,,,,,,,
1980,EDM,1979-11-30,H,New York Islanders,5,3,W,,33,20,1,,0,32,26,0,,0,,,,,,,,,,,
1982,EDM,1981-11-14,A,New York Islanders,5,5,T,,33,8,2,,0,40,8,0,,0,,,,,,,,,,,
1984,EDM,1983-11-02,H,Washington Capitals,11,3,W,,32,17,1,,0,33,11,1,,0,,,,,,,,,,,
1985,EDM,1984-11-11,A,Philadelphia Flyers,5,7,L,,26,16,2,,0,46,10,2,,0,,,,,,,,,,,
1987,EDM,1986-10-29,H,Washington Capitals,6,3,W,,40,9,3,,0,33,11,0,,0,,,,,,,,,,,
1983,EDM,1982-10-31,H,Vancouver Canucks,2,3,L,,32,20,0,,0,36,18,1,,0,,,,,,,,,,,
1983,EDM,1982-11-03,H,Winnipeg Jets,7,2,W,,50,39,0,,0,23,20,0,,0,,,,,,,,,,,
1988,EDM,1987-11-01,A,New York Rangers,7,6,W,,31,14,0,,0,33,10,3,,0,,,,,,,,,,,
1988,EDM,1987-11-04,H,New York Rangers,7,2,W,,25,25,3,,0,33,19,1,,0,,,,,,,,,,,
1993,EDM,1992-10-08,A,Calgary Flames,2,7,L,,25,38,1,,0,25,24,5,,0,,,,,,,,,,,
1991,EDM,1990-10-19,H,Boston Bruins,8,1,W,,31,88,3,,0,22,77,1,,0,,,,,,,,,,,
1991,EDM,1990-10-21,H,Calgary Flames,1,2,L,,16,10,0,,0,31,12,1,,0,,,,,,,,,,,
1986,EDM,1985-11-03,H,Toronto Maple Leafs,7,1,W,,28,10,1,,0,28,8,0,,0,,,,,,,,,,,
1989,EDM,1988-10-25,A,Los Angeles Kings,5,4,W,,24,57,1,,0,38,30,1,,0,,,,,,,,,,,
1981,EDM,1980-11-15,A,Toronto Maple Leafs,2,4,L,,21,20,2,,0,35,20,2,,0,,,,,,,,,,,
1981,EDM,1980-11-16,A,Chicago Black Hawks,5,4,W,,36,18,2,,0,38,16,1,,0,,,,,,,,,,,
1980,EDM,1979-12-05,A,Minnesota North Stars,1,6,L,,24,8,0,,0,34,10,2,,0,,,,,,,,,,,
1982,EDM,1981-11-15,A,New York Rangers,5,3,W,,32,12,0,,0,33,12,0,,0,,,,,,,,,,,
1982,EDM,1981-11-17,A,St. Louis Blues,5,1,W,,41,20,0,,0,25,22,0,,0,,,,,,,,,,,
1984,EDM,1983-11-05,H,Pittsburgh Penguins,7,3,W,,36,20,2,,1,28,18,0,,0,,,,,,,,,,,
1985,EDM,1984-11-14,H,Montreal Canadiens,2,4,L,,24,6,0,,0,27,6,0,,0,,,,,,,,,,,
1985,EDM,1984-11-15,A,Calgary Flames,2,6,L,,37,135,0,,1,47,88,1,,0,,,,,,,,,,,
1987,EDM,1986-10-31,A,Vancouver Canucks,6,2,W,,16,46,2,,1,42,30,1,,0,,,,,,,,,,,
1987,EDM,1986-11-02,H,Los Angeles Kings,5,5,T,OT,41,10,1,,0,27,12,3,,1,,,,,,,,,,,
1983,EDM,1982-11-05,H,New York Rangers,5,1,W,,38,6,0,,0,30,8,0,,0,,,,,,,,,,,
1983,EDM,1982-11-08,A,Quebec Nordiques,5,5,T,,41,17,1,,0,27,11,1,,0,,,,,,,,,,,
1988,EDM,1987-11-05,A,Calgary Flames,4,4,T,OT,36,23,0,,0,52,21,1,,0,,,,,,,,,,,
1988,EDM,1987-11-07,H,Buffalo Sabres,5,0,W,,34,17,1,,0,26,17,,,,,,,,,,,,,,
1995,EDM,1995-01-20,H,Mighty Ducks of Anaheim,2,1,W,,29,16,1,,0,30,14,1,,0,,,,,,,,,,,
1993,EDM,1992-10-10,A,Vancouver Canucks,2,5,L,,22,18,0,,0,34,18,1,,0,,,,,,,,,,,
1993,EDM,1992-10-11,H,Toronto Maple Leafs,3,3,T,OT,28,29,2,,0,35,31,1,,0,,,,,,,,,,,
1991,EDM,1990-10-24,A,Winnipeg Jets,1,3,L,,24,15,0,,1,23,15,1,,0,,,,,,,,,,,
1991,EDM,1990-10-25,A,Calgary Flames,2,4,L,,29,22,1,,0,32,22,2,,1,,,,,,,,,,,
1986,EDM,1985-11-05,A,Vancouver Canucks,6,4,W,,23,21,0,,0,26,15,1,,0,,,,,,,,,,,
1989,EDM,1988-10-29,H,Washington Capitals,4,3,W,OT,30,12,1,,0,34,12,2,,1,,,,,,,,,,,
1981,EDM,1980-11-19,H,Vancouver Canucks,4,6,L,,36,15,0,,0,24,19,1,,0,,,,,,,,,,,
1980,EDM,1979-12-07,A,Winnipeg Jets,3,8,L,,21,12,0,,0,29,10,3,,0,,,,,,,,,,,
1980,EDM,1979-12-09,H,Hartford Whalers,3,0,W,,35,6,1,,0,30,2,,,,,,,,,,,,,,
1982,EDM,1981-11-17,A,St. Louis Blues,5,1,W,,41,20,0,,0,25,22,0,,0,,,,,,,,,,,
1982,EDM,1981-11-19,A,Minnesota North Stars,2,2,T,,34,8,0,,0,36,8,1,,0,,,,,,,,,,,
1984,EDM,1983-11-06,A,Winnipeg Jets,8,5,W,,36,16,0,,1,33,18,1,,1,,,,,,,,,,,
1985,EDM,1984-11-17,H,Vancouver Canucks,7,0,W,,45,8,2,,1,20,12,,,,,,,,,,,,,,
1987,EDM,1986-11-05,H,Calgary Flames,1,3,L,,39,4,0,,0,26,6,1,,0,,,,,,,,,,,
1987,EDM,1986-11-07,A,Calgary Flames,4,6,L,,23,63,1,,1,34,57,3,,0,,,,,,,,,,,
1983,EDM,1982-11-10,A,Pittsburgh Penguins,4,5,L,,39,8,0,,0,38,8,1,,0,,,,,,,,,,,
1988,EDM,1987-11-10,A,Los Angeles Kings,4,4,T,OT,26,18,0,,0,36,16,0,,0,,,,,,,,,,,
1995,EDM,1995-01-22,A,Los Angeles Kings,4,3,W,,34,19,1,,0,24,34,2,,0,,,,,,,,,,,
1995,EDM,1995-01-23,A,Mighty Ducks of Anaheim,4,5,L,OT,36,9,2,,0,31,23,1,,0,,,,,,,,,,,
1993,EDM,1992-10-14,A,Winnipeg Jets,3,7,L,,23,63,2,,0,39,35,4,,0,,,,,,,,,,,
1991,EDM,1990-10-28,H,Washington Capitals,0,1,L,,31,8,0,,0,23,19,0,,0,,,,,,,,,,,
1991,EDM,1990-10-31,H,Winnipeg Jets,0,1,L,OT,34,12,0,,0,24,27,0,,0,,,,,,,,,,,
1986,EDM,1985-11-06,A,Los Angeles Kings,4,4,T,OT,32,91,1,,0,49,79,2,,0,,,,,,,,,,,
1986,EDM,1985-11-08,H,Vancouver Canucks,13,0,W,,44,10,0,,1,29,2,,,,,,,,,,,,,,
1989,EDM,1988-10-30,H,Chicago Blackhawks,2,5,L,,34,15,0,,1,28,15,1,,2,,,,,,,,,,,
1989,EDM,1988-11-02,H,St. Louis Blues,5,4,W,,30,20,1,,0,30,52,3,,0,,,,,,,,,,,
1981,EDM,1980-11-23,H,Buffalo Sabres,6,3,W,,35,28,1,,0,20,30,1,,0,,,,,,,,,,,
1980,EDM,1979-12-12,H,Atlanta Flames,5,5,T,,38,8,2,,1,30,8,1,,0,,,,,,,,,,,
1982,EDM,1981-11-21,H,Vancouver Canucks,8,3,W,,41,19,4,,0,44,21,1,,0,,,,,,,,,,,
1982,EDM,1981-11-23,H,Detroit Red Wings,8,4,W,,42,2,1,,0,34,2,0,,0,,,,,,,,,,,
1984,EDM,1983-11-08,A,Quebec Nordiques,7,4,W,,35,26,0,,1,31,12,1,,0,,,,,,,,,,,
1984,EDM,1983-11-09,A,Washington Capitals,7,4,W,,30,18,1,,1,41,12,1,,0,,,,,,,,,,,
1985,EDM,1984-11-21,H,Winnipeg Jets,7,5,W,,27,14,1,,1,31,14,2,,0,,,,,,,,,,,
1985,EDM,1984-11-21,H,Winnipeg Jets,7,5,W,,27,14,1,,1,31,14,2,,0,,,,,,,,,,,
1985,EDM,1984-11-24,H,St. Louis Blues,7,6,W,,37,8,3,,0,31,14,0,,0,,,,,,,,,,,
1987,EDM,1986-11-08,H,Montreal Canadiens,4,3,W,,24,22,2,,0,26,24,2,,0,,,,,,,,,,,
1987,EDM,1986-11-11,A,New York Islanders,3,2,W,OT,30,8,1,,0,26,6,1,,0,,,,,,,,,,,
1983,EDM,1982-11-11,A,New Jersey Devils,5,1,W,,31,17,2,,0,28,16,1,,0,,,,,,,,,,,
1983,EDM,1982-11-13,A,Philadelphia Flyers,4,3,W,,22,17,1,,0,37,9,2,,0,,,,,,,,,,,
1988,EDM,1987-11-14,A,St. Louis Blues,6,5,W,OT,41,14,0,,0,32,25,2,,0,,,,,,,,,,,
1990,EDM,1989-10-05,A,Vancouver Canucks,4,1,W,,20,33,2,,0,34,14,0,,0,,,,,,,,,,,
1997,EDM,1996-10-04,H,Buffalo Sabres,4,3,W,,22,8,1,,0,19,24,2,,0,,,,,,,,,,,
1995,EDM,1995-01-25,A,Chicago Blackhawks,1,5,L,,18,46,0,,0,37,38,2,,1,,,,,,,,,,,
1995,EDM,1995-01-28,A,Detroit Red Wings,2,5,L,,28,15,1,,0,32,21,2,,0,,,,,,,,,,,
1993,EDM,1992-10-15,A,Chicago Blackhawks,4,3,W,OT,29,25,1,,1,37,23,2,,1,,,,,,,,,,,
1993,EDM,1992-10-17,A,Detroit Red Wings,2,4,L,,28,4,0,,0,32,6,0,,1,,,,,,,,,,,
1991,EDM,1990-11-03,H,New Jersey Devils,2,5,L,,22,12,2,,0,26,8,2,,0,,,,,,,,,,,
1986,EDM,1985-11-12,A,Washington Capitals,2,5,L,,30,13,1,,0,26,17,1,,3,,,,,,,,,,,
1989,EDM,1988-11-04,H,Buffalo Sabres,7,3,W,,34,37,5,,0,22,46,1,,0,,,,,,,,,,,
1989,EDM,1988-11-06,A,Detroit Red Wings,2,5,L,,30,26,1,,0,22,32,1,,1,,,,,,,,,,,
1981,EDM,1980-11-25,A,Colorado Rockies,3,4,L,,16,17,0,,0,26,13,2,,0,,,,,,,,,,,
1981,EDM,1980-11-25,A,Colorado Rockies,3,4,L,,16,17,0,,0,26,13,2,,0,,,,,,,,,,,
1981,EDM,1980-11-26,H,Chicago Black Hawks,10,3,W,,37,18,5,,0,36,14,2,,0,,,,,,,,,,,
