year,team,date_game,game_location,opp_name,goals,opp_goals,game_outcome,overtimes,shots,pen_min,goals_pp,chances_pp,goals_sh,shots_against,pen_min_opp,goals_against_pp,opp_chances_pp,goals_against_sh,corsi_for,corsi_against,corsi_pct,fenwick_for,fenwick_against,fenwick_pct,faceoff_wins,faceoff_losses,faceoff_percentage,zs_offense_pct,pdo
2016,ARI,2015-10-15,H,Minnesota Wild,3,4,L,,30,24,0,7,0,24,16,1,5,1,27,23,54.0,21,19,52.5,26,16,61.9,54.0,98.2
2016,ARI,2015-10-17,H,Boston Bruins,3,5,L,,23,17,1,4,0,43,13,3,6,1,44,44,50.0,26,35,42.6,20,21,48.8,43.8,106.9
2015,ARI,2014-11-02,A,Washington Capitals,6,5,W,,30,15,2,,0,37,21,2,,0,48,51,48.5,33,39,45.8,29,17,63.0,45.8,106.7
2017,ARI,2016-11-03,H,Nashville Predators,3,2,W,SO,28,14,0,3,0,37,6,1,7,0,40,47,46.0,32,32,50.0,24,18,57.1,53.3,104.0
2017,ARI,2016-11-04,A,Anaheim Ducks,1,5,L,,22,11,0,1,0,33,9,1,2,0,37,50,42.5,28,41,40.6,28,30,48.3,46.8,92.5
2018,ARI,2017-10-17,A,Dallas Stars,1,3,L,,28,7,0,2,0,34,9,0,1,0,45,54,45.5,32,44,42.1,20,30,40.0,56.3,95.1
2019,ARI,2018-10-25,H,Vancouver Canucks,4,1,W,,30,18,0,3,2,28,18,0,3,0,41,44,48.2,36,37,49.3,20,23,46.5,50.8,104.7
2019,ARI,2018-10-27,H,Tampa Bay Lightning,7,1,W,,30,10,0,4,2,31,8,1,5,0,38,49,43.7,31,38,44.9,19,23,45.2,48.1,126.3
2016,ARI,2015-10-20,A,New Jersey Devils,2,3,L,OT,20,9,1,5,0,25,15,0,3,1,27,30,47.4,21,26,44.7,27,24,52.9,43.2,97.7
2015,ARI,2014-11-04,H,Toronto Maple Leafs,3,2,W,,33,12,0,,0,30,10,2,,0,44,37,54.3,36,27,57.1,20,24,45.5,52.6,111.1
2017,ARI,2016-11-08,A,Colorado Avalanche,4,2,W,,25,7,1,4,0,27,13,1,1,0,49,48,50.5,29,34,46.0,24,32,42.9,41.7,109.6
2017,ARI,2016-11-10,H,Winnipeg Jets,2,3,L,,25,9,0,1,0,27,7,0,2,0,45,54,45.5,34,48,41.5,23,23,50.0,50.0,97.2
2018,ARI,2017-10-19,H,Dallas Stars,4,5,L,,31,4,0,4,0,30,8,1,2,0,45,51,46.9,35,40,46.7,23,21,52.3,50.0,102.4
