year,team,date_game,game_location,opp_name,goals,opp_goals,game_outcome,overtimes,shots,pen_min,goals_pp,chances_pp,goals_sh,shots_against,pen_min_opp,goals_against_pp,opp_chances_pp,goals_against_sh,corsi_for,corsi_against,corsi_pct,fenwick_for,fenwick_against,fenwick_pct,faceoff_wins,faceoff_losses,faceoff_percentage,zs_offense_pct,pdo
1998,DAL,1997-10-10,H,Chicago Blackhawks,7,0,W,,25,15,1,,1,14,15,,,,,,,,,,,,,,
1996,DAL,1995-10-21,H,Tampa Bay Lightning,3,3,T,OT,30,12,1,,0,38,20,1,,1,,,,,,,,,,,
1994,DAL,1993-10-27,H,Hartford Whalers,5,1,W,,31,29,2,,0,28,49,1,,0,,,,,,,,,,,
2002,DAL,2001-10-07,A,Carolina Hurricanes,0,3,L,,32,15,0,,0,28,15,0,,0,,,,,,,,,,,
2002,DAL,2001-10-09,H,Los Angeles Kings,2,1,W,,19,12,1,,0,26,16,0,,0,,,,,,,,,,,
1999,DAL,1998-10-22,H,Phoenix Coyotes,2,1,W,,32,12,2,,0,21,14,1,,0,,,,,,,,,,,
1997,DAL,1996-10-19,H,Toronto Maple Leafs,2,0,W,,25,11,0,,0,14,21,,,,,,,,,,,,,,
1997,DAL,1996-10-23,A,Detroit Red Wings,1,4,L,,24,33,0,,0,31,17,2,,0,,,,,,,,,,,
2003,DAL,2002-10-09,A,Colorado Avalanche,1,1,T,OT,25,14,0,,0,41,6,0,,0,,,,,,,,,,,
2000,DAL,1999-10-08,A,Mighty Ducks of Anaheim,0,3,L,,37,8,0,,0,21,6,1,,0,,,,,,,,,,,
2000,DAL,1999-10-09,A,San Jose Sharks,3,2,W,,33,6,1,,0,26,8,0,,0,,,,,,,,,,,
2001,DAL,2000-10-10,A,Carolina Hurricanes,2,5,L,,21,18,0,,0,22,22,1,,1,,,,,,,,,,,
2001,DAL,2000-10-12,H,Philadelphia Flyers,4,1,W,,22,12,0,,0,27,10,0,,0,,,,,,,,,,,
1995,DAL,1995-02-11,H,Calgary Flames,0,6,L,,34,19,0,,0,24,20,1,,0,,,,,,,,,,,
1995,DAL,1995-02-13,H,Winnipeg Jets,4,7,L,,35,52,1,,0,30,35,4,,0,,,,,,,,,,,
1998,DAL,1997-10-14,H,Calgary Flames,5,4,W,OT,31,12,1,,0,19,10,3,,0,,,,,,,,,,,
1996,DAL,1995-10-24,H,Buffalo Sabres,3,0,W,,34,21,0,,0,27,23,,,,,,,,,,,,,,
1996,DAL,1995-10-26,H,Mighty Ducks of Anaheim,5,2,W,,38,6,1,,0,34,8,0,,0,,,,,,,,,,,
1994,DAL,1993-10-30,H,Ottawa Senators,4,5,L,OT,44,19,1,,0,27,29,2,,1,,,,,,,,,,,
1994,DAL,1993-11-01,H,Toronto Maple Leafs,3,3,T,OT,31,42,2,,0,33,46,0,,0,,,,,,,,,,,
2004,DAL,2003-10-08,H,Mighty Ducks of Anaheim,4,1,W,,22,20,1,,0,21,18,1,,0,,,,,,,,,,,
2002,DAL,2001-10-11,H,Vancouver Canucks,1,4,L,,39,12,1,,0,20,20,0,,0,,,,,,,,,,,
1999,DAL,1998-10-24,H,San Jose Sharks,2,1,W,,24,10,2,,0,17,10,1,,0,,,,,,,,,,,
1999,DAL,1998-10-30,H,Mighty Ducks of Anaheim,3,3,T,OT,27,20,1,,0,34,16,0,,0,,,,,,,,,,,
1997,DAL,1996-10-26,H,Ottawa Senators,5,1,W,,25,28,1,,1,22,38,0,,0,,,,,,,,,,,
2003,DAL,2002-10-11,H,Mighty Ducks of Anaheim,4,2,W,,26,23,2,,0,26,21,1,,0,,,,,,,,,,,
2000,DAL,1999-10-13,H,San Jose Sharks,0,2,L,,35,4,0,,0,24,8,0,,0,,,,,,,,,,,
2000,DAL,1999-10-15,H,Boston Bruins,2,2,T,OT,23,13,0,,0,34,9,1,,0,,,,,,,,,,,
2001,DAL,2000-10-14,H,Washington Capitals,3,0,W,,20,4,2,,0,12,10,,,,,,,,,,,,,,
1995,DAL,1995-02-15,H,Los Angeles Kings,1,3,L,,43,11,1,,0,32,17,0,,0,,,,,,,,,,,
1998,DAL,1997-10-16,H,Florida Panthers,4,0,W,,29,12,1,,0,12,18,,,,,,,,,,,,,,
1996,DAL,1995-10-28,A,San Jose Sharks,4,3,W,,28,18,0,,0,24,14,1,,1,,,,,,,,,,,
1994,DAL,1993-11-03,A,Mighty Ducks of Anaheim,4,5,L,,28,11,1,,0,33,15,0,,0,,,,,,,,,,,
2004,DAL,2003-10-11,A,Nashville Predators,3,1,W,,30,36,1,,0,25,24,1,,0,,,,,,,,,,,
