year,team,date_game,game_location,opp_name,goals,opp_goals,game_outcome,overtimes,shots,pen_min,goals_pp,chances_pp,goals_sh,shots_against,pen_min_opp,goals_against_pp,opp_chances_pp,goals_against_sh,corsi_for,corsi_against,corsi_pct,fenwick_for,fenwick_against,fenwick_pct,faceoff_wins,faceoff_losses,faceoff_percentage,zs_offense_pct,pdo
1987,CGY,1986-10-16,H,Quebec Nordiques,2,4,L,,36,21,2,,0,32,29,1,,0,,,,,,,,,,,
1984,CGY,1983-10-18,A,New York Islanders,4,3,W,,26,10,0,,0,34,10,1,,0,,,,,,,,,,,
1994,CGY,1993-10-05,H,New York Islanders,2,1,W,,20,12,1,,0,26,12,0,,0,,,,,,,,,,,
1991,CGY,1990-10-06,H,Toronto Maple Leafs,4,1,W,,45,16,4,,0,32,20,1,,0,,,,,,,,,,,
1990,CGY,1989-10-07,H,New York Islanders,6,3,W,,35,20,2,,0,28,16,1,,0,,,,,,,,,,,
1992,CGY,1991-10-06,A,Winnipeg Jets,3,5,L,,36,48,2,,0,24,24,3,,0,,,,,,,,,,,
1993,CGY,1992-10-08,H,Edmonton Oilers,7,2,W,,25,24,5,,0,25,38,1,,0,,,,,,,,,,,
1983,CGY,1982-10-16,A,Minnesota North Stars,4,8,L,,23,11,0,,0,44,13,1,,0,,,,,,,,,,,
1989,CGY,1988-10-14,H,Edmonton Oilers,6,1,W,,38,75,1,,1,18,74,0,,0,,,,,,,,,,,
1988,CGY,1987-10-14,A,Edmonton Oilers,5,4,W,,33,28,1,,1,22,28,1,,0,,,,,,,,,,,
1988,CGY,1987-10-16,H,Edmonton Oilers,2,5,L,,37,34,0,,1,22,30,1,,0,,,,,,,,,,,
1981,CGY,1980-10-22,A,Edmonton Oilers,3,5,L,,31,15,1,,0,31,11,3,,0,,,,,,,,,,,
1981,CGY,1980-10-23,H,Toronto Maple Leafs,4,5,L,,24,2,1,,0,34,8,0,,0,,,,,,,,,,,
1982,CGY,1981-10-29,A,Detroit Red Wings,4,12,L,,21,8,1,,0,54,6,1,,0,,,,,,,,,,,
1982,CGY,1981-11-01,A,New York Rangers,2,4,L,,22,6,0,,0,36,2,2,,0,,,,,,,,,,,
1985,CGY,1984-10-21,A,Edmonton Oilers,4,6,L,,46,24,1,,0,35,19,1,,2,,,,,,,,,,,
1985,CGY,1984-10-23,H,Hartford Whalers,9,4,W,,48,22,0,,1,23,16,1,,0,,,,,,,,,,,
1986,CGY,1985-10-20,A,Winnipeg Jets,5,8,L,,32,31,2,,0,31,23,4,,0,,,,,,,,,,,
1986,CGY,1985-10-23,H,Washington Capitals,4,2,W,,32,10,1,,0,29,10,1,,0,,,,,,,,,,,
1987,CGY,1986-10-18,H,Detroit Red Wings,3,5,L,,34,19,1,,0,19,25,1,,1,,,,,,,,,,,
1987,CGY,1986-10-22,H,Edmonton Oilers,6,3,W,,29,8,0,,0,24,8,1,,0,,,,,,,,,,,
1984,CGY,1983-10-19,A,New York Rangers,1,3,L,,27,6,0,,0,34,8,0,,0,,,,,,,,,,,
1984,CGY,1983-10-22,A,Detroit Red Wings,1,4,L,,14,25,1,,0,34,15,2,,0,,,,,,,,,,,
1994,CGY,1993-10-07,H,San Jose Sharks,6,2,W,,24,2,1,,0,18,4,0,,0,,,,,,,,,,,
1994,CGY,1993-10-09,A,Vancouver Canucks,5,1,W,,25,27,1,,0,26,33,0,,0,,,,,,,,,,,
1991,CGY,1990-10-08,A,Winnipeg Jets,4,3,W,,22,12,0,,0,32,6,1,,0,,,,,,,,,,,
1991,CGY,1990-10-10,A,Detroit Red Wings,5,6,L,OT,25,17,2,,0,31,17,1,,0,,,,,,,,,,,
1990,CGY,1989-10-10,A,New Jersey Devils,4,2,W,,23,10,0,,1,28,6,0,,0,,,,,,,,,,,
1990,CGY,1989-10-11,A,New York Rangers,4,5,L,,35,14,1,,0,23,14,3,,1,,,,,,,,,,,
1992,CGY,1991-10-08,A,San Jose Sharks,3,4,L,,39,18,1,,0,34,12,2,,0,,,,,,,,,,,
1993,CGY,1992-10-10,H,Toronto Maple Leafs,3,2,W,,32,16,1,,0,23,16,1,,0,,,,,,,,,,,
1983,CGY,1982-10-17,A,Winnipeg Jets,5,5,T,,32,6,1,,0,34,4,1,,0,,,,,,,,,,,
1989,CGY,1988-10-17,H,Los Angeles Kings,11,4,W,,40,19,4,,0,32,47,2,,0,,,,,,,,,,,
1988,CGY,1987-10-18,H,Boston Bruins,5,6,L,OT,30,14,3,,0,39,23,1,,1,,,,,,,,,,,
1981,CGY,1980-10-25,A,Pittsburgh Penguins,8,2,W,,33,29,4,,0,30,34,1,,0,,,,,,,,,,,
