year,team,date_game,game_location,opp_name,goals,opp_goals,game_outcome,overtimes,shots,pen_min,goals_pp,chances_pp,goals_sh,shots_against,pen_min_opp,goals_against_pp,opp_chances_pp,goals_against_sh,corsi_for,corsi_against,corsi_pct,fenwick_for,fenwick_against,fenwick_pct,faceoff_wins,faceoff_losses,faceoff_percentage,zs_offense_pct,pdo
1998,CAR,1997-10-22,H,St. Louis Blues,4,3,W,,26,8,0,,0,31,4,0,,0,,,,,,,,,,,
2001,CAR,2000-10-14,A,Nashville Predators,1,2,L,,24,6,0,,0,34,14,0,,1,,,,,,,,,,,
2001,CAR,2000-10-18,A,Pittsburgh Penguins,3,2,W,,32,18,0,,0,33,12,1,,0,,,,,,,,,,,
1999,CAR,1998-11-08,H,Boston Bruins,2,5,L,,31,26,0,,0,31,22,3,,0,,,,,,,,,,,
2000,CAR,1999-10-22,A,Buffalo Sabres,3,7,L,,20,6,1,,0,28,14,1,,0,,,,,,,,,,,
2000,CAR,1999-10-23,A,Pittsburgh Penguins,3,2,W,,26,6,1,,0,19,8,1,,0,,,,,,,,,,,
2009,CAR,2008-10-10,H,Florida Panthers,6,4,W,,24,12,2,,0,33,8,2,,0,46,54,46.0,33,37,47.1,26,24,52.0,56.0,111.7
2004,CAR,2003-10-18,A,New York Rangers,2,2,T,OT,31,10,0,,0,28,12,0,,0,,,,,,,,,,,
2004,CAR,2003-10-22,A,Pittsburgh Penguins,1,1,T,OT,36,14,0,,0,23,8,1,,0,,,,,,,,,,,
2010,CAR,2009-10-02,H,Philadelphia Flyers,0,2,L,,28,29,0,,0,27,25,2,,0,41,35,53.9,33,30,52.4,18,21,46.2,66.1,100.0
2002,CAR,2001-10-18,A,New York Islanders,1,2,L,OT,20,14,0,,0,37,4,0,,0,,,,,,,,,,,
2002,CAR,2001-10-20,H,Atlanta Thrashers,2,1,W,OT,29,14,0,,0,24,18,0,,0,,,,,,,,,,,
2008,CAR,2007-10-03,H,Montreal Canadiens,2,3,L,OT,31,16,1,,0,40,16,3,,0,,,,,,,,,,,
2003,CAR,2002-10-17,H,Washington Capitals,1,2,L,,38,11,1,,0,27,17,1,,0,,,,,,,,,,,
2003,CAR,2002-10-19,H,New Jersey Devils,3,1,W,,20,40,1,,1,27,52,1,,0,,,,,,,,,,,
2006,CAR,2005-10-07,H,Pittsburgh Penguins,3,2,W,SO,33,19,0,,0,30,21,2,,0,,,,,,,,,,,
2006,CAR,2005-10-08,A,New York Islanders,2,3,L,,44,12,0,,0,35,12,1,,1,,,,,,,,,,,
2007,CAR,2006-10-06,H,New Jersey Devils,0,4,L,,29,15,0,,0,30,19,1,,0,,,,,,,,,,,
2007,CAR,2006-10-07,A,Washington Capitals,2,5,L,,27,20,1,,0,35,14,2,,0,,,,,,,,,,,
1998,CAR,1997-10-24,A,Colorado Avalanche,3,3,T,OT,30,22,3,,0,33,20,1,,0,,,,,,,,,,,
1998,CAR,1997-10-26,A,Chicago Blackhawks,3,2,W,,21,12,1,,0,24,8,0,,0,,,,,,,,,,,
2001,CAR,2000-10-21,A,Montreal Canadiens,2,5,L,,20,16,1,,0,23,16,1,,0,,,,,,,,,,,
2001,CAR,2000-10-24,H,San Jose Sharks,2,3,L,,28,13,1,,0,26,22,0,,1,,,,,,,,,,,
1999,CAR,1998-11-11,A,Mighty Ducks of Anaheim,4,5,L,OT,29,10,0,,0,41,6,1,,0,,,,,,,,,,,
1999,CAR,1998-11-12,A,San Jose Sharks,0,3,L,,20,12,0,,0,18,14,1,,0,,,,,,,,,,,
2000,CAR,1999-10-29,H,New Jersey Devils,2,4,L,,21,7,0,,0,32,13,0,,0,,,,,,,,,,,
2000,CAR,1999-10-30,A,New York Islanders,4,0,W,,31,10,3,,0,24,24,,,,,,,,,,,,,,
2009,CAR,2008-10-11,A,Tampa Bay Lightning,4,3,W,OT,46,14,2,,0,29,18,2,,0,49,35,58.3,42,29,59.2,18,28,39.1,66.1,100.6
2009,CAR,2008-10-13,H,Detroit Red Wings,1,3,L,,28,12,0,,0,36,8,2,,0,38,51,42.7,29,34,46.0,17,23,42.5,50.0,100.7
2004,CAR,2003-10-23,A,Boston Bruins,2,0,W,,32,9,0,,0,18,9,,,,,,,,,,,,,,
2004,CAR,2003-10-25,A,Philadelphia Flyers,4,4,T,OT,35,4,0,,0,32,6,1,,1,,,,,,,,,,,
2010,CAR,2009-10-03,A,Boston Bruins,2,7,L,,27,42,1,,0,42,46,4,,0,24,35,40.7,20,30,40.0,25,18,58.1,42.7,95.3
2010,CAR,2009-10-06,H,Tampa Bay Lightning,2,1,W,SO,28,21,1,,0,30,15,1,,0,46,35,56.8,30,27,52.6,19,18,51.4,50.3,100.0
2002,CAR,2001-10-23,A,Colorado Avalanche,1,5,L,,24,15,0,,0,37,17,2,,0,,,,,,,,,,,
2002,CAR,2001-10-24,A,Minnesota Wild,7,3,W,,31,22,0,,0,24,24,2,,0,,,,,,,,,,,
2008,CAR,2007-10-05,H,Pittsburgh Penguins,4,1,W,,33,12,1,,0,34,10,1,,0,,,,,,,,,,,
2008,CAR,2007-10-06,A,Washington Capitals,0,2,L,,23,8,0,,0,33,8,1,,0,,,,,,,,,,,
2012,CAR,2011-10-07,H,Tampa Bay Lightning,1,5,L,,33,12,0,,0,34,10,2,,0,58,45,56.3,41,30,57.7,25,31,44.6,53.5,91.9
2003,CAR,2002-10-22,A,New York Islanders,4,1,W,,18,18,3,,0,37,16,0,,0,,,,,,,,,,,
2003,CAR,2002-10-23,A,Ottawa Senators,1,4,L,,21,18,0,,0,25,10,2,,0,,,,,,,,,,,
2011,CAR,2010-10-07,A,Minnesota Wild,4,3,W,,31,10,2,,0,29,10,2,,0,55,41,57.3,36,27,57.1,25,39,39.1,47.5,102.4
2014,CAR,2013-10-04,H,Detroit Red Wings,2,3,L,OT,25,6,1,,0,38,6,0,,0,45,66,40.5,34,47,42.0,19,19,50.0,39.6,95.9
2006,CAR,2005-10-12,H,Washington Capitals,7,2,W,,36,12,3,,0,28,16,0,,0,,,,,,,,,,,
2006,CAR,2005-10-15,A,New Jersey Devils,6,1,W,,25,10,2,,0,28,8,0,,0,,,,,,,,,,,
2007,CAR,2006-10-11,A,Florida Panthers,3,6,L,,35,8,1,,0,31,16,1,,1,,,,,,,,,,,
2007,CAR,2006-10-13,A,Atlanta Thrashers,4,3,W,,33,10,0,,0,34,12,0,,0,,,,,,,,,,,
1998,CAR,1997-10-31,H,Buffalo Sabres,2,3,L,OT,25,14,2,,0,24,16,0,,0,,,,,,,,,,,
1998,CAR,1997-11-03,H,Vancouver Canucks,5,3,W,,33,15,1,,1,24,15,1,,0,,,,,,,,,,,
2001,CAR,2000-10-25,A,Buffalo Sabres,1,4,L,,31,15,0,,0,31,13,1,,0,,,,,,,,,,,
2001,CAR,2000-10-27,H,New Jersey Devils,3,3,T,OT,29,23,1,,0,31,29,0,,0,,,,,,,,,,,
1999,CAR,1998-11-14,A,Los Angeles Kings,5,3,W,,29,14,2,,0,40,14,0,,1,,,,,,,,,,,
1999,CAR,1998-11-17,H,Montreal Canadiens,5,4,W,,26,46,1,,0,31,30,3,,0,,,,,,,,,,,
2016,CAR,2015-10-08,A,Nashville Predators,1,2,L,,26,6,0,3,0,25,6,1,3,0,45,30,60.0,36,21,63.2,28,12,70.0,56.5,97.2
2000,CAR,1999-11-03,H,Toronto Maple Leafs,0,6,L,,24,10,0,,0,26,12,0,,1,,,,,,,,,,,
2000,CAR,1999-11-05,A,Detroit Red Wings,2,3,L,,21,20,1,,0,33,20,1,,0,,,,,,,,,,,
2015,CAR,2014-10-10,H,New York Islanders,3,5,L,,24,6,2,,0,26,10,2,,0,40,45,47.1,29,33,46.8,25,22,53.2,53.6,92.4
2013,CAR,2013-01-19,A,Florida Panthers,1,5,L,,42,14,0,,0,25,16,3,,0,62,27,69.7,51,19,72.9,21,23,47.7,53.4,90.5
2009,CAR,2008-10-17,A,Los Angeles Kings,3,4,L,OT,26,6,0,,0,24,10,0,,0,43,38,53.1,36,33,52.2,21,24,46.7,45.3,94.6
2004,CAR,2003-10-28,H,San Jose Sharks,3,0,W,,28,50,1,,0,28,87,,,,,,,,,,,,,,
2004,CAR,2003-10-30,A,New York Rangers,1,4,L,,30,18,1,,0,26,25,1,,1,,,,,,,,,,,
2010,CAR,2009-10-09,H,Florida Panthers,7,2,W,,33,14,0,,1,27,6,0,,0,46,45,50.5,34,34,50.0,25,26,49.0,44.8,118.1
2010,CAR,2009-10-10,A,Tampa Bay Lightning,2,5,L,,26,14,2,,0,39,10,1,,0,40,36,52.6,27,28,49.1,12,29,29.3,54.2,81.0
2002,CAR,2001-10-26,H,New York Islanders,2,3,L,OT,30,14,1,,0,20,18,3,,0,,,,,,,,,,,
2002,CAR,2001-10-28,H,Los Angeles Kings,3,2,W,OT,25,8,1,,0,20,14,0,,0,,,,,,,,,,,
2008,CAR,2007-10-09,A,Toronto Maple Leafs,7,1,W,,39,8,4,,0,28,16,1,,0,,,,,,,,,,,
2008,CAR,2007-10-11,A,Ottawa Senators,5,3,W,,32,10,1,,0,30,8,0,,0,,,,,,,,,,,
2012,CAR,2011-10-08,A,Washington Capitals,3,4,L,OT,31,10,2,,0,36,8,2,,0,37,58,38.9,25,40,38.5,19,30,38.8,33.7,98.6
2003,CAR,2002-10-26,H,Chicago Blackhawks,3,3,T,OT,28,19,2,,0,43,19,0,,0,,,,,,,,,,,
2003,CAR,2002-10-29,A,New Jersey Devils,2,1,W,,11,10,0,,0,35,6,0,,0,,,,,,,,,,,
2003,CAR,2002-10-30,H,New York Islanders,4,2,W,,24,14,3,,0,33,22,2,,0,,,,,,,,,,,
2011,CAR,2010-10-08,H,Minnesota Wild,2,1,W,SO,37,19,0,,0,42,19,1,,0,48,56,46.2,35,46,43.2,16,36,30.8,52.6,103.3
2011,CAR,2010-10-14,A,Ottawa Senators,2,3,L,,24,8,1,,0,39,8,1,,0,33,56,37.1,27,45,37.5,16,30,34.8,34.3,99.4
2014,CAR,2013-10-06,H,Philadelphia Flyers,2,1,W,,34,4,0,,0,18,8,0,,0,51,38,57.3,40,28,58.8,25,21,54.3,40.3,101.0
2006,CAR,2005-10-20,A,Toronto Maple Leafs,4,5,L,OT,32,10,1,,0,23,10,1,,1,,,,,,,,,,,
2006,CAR,2005-10-22,A,Washington Capitals,4,0,W,,41,11,3,,0,18,29,,,,,,,,,,,,,,
2006,CAR,2005-10-24,H,Ottawa Senators,3,2,W,,27,19,1,,0,47,19,1,,0,,,,,,,,,,,
2007,CAR,2006-10-14,A,Pittsburgh Penguins,5,1,W,,34,25,1,,0,26,17,1,,0,,,,,,,,,,,
2007,CAR,2006-10-16,A,Tampa Bay Lightning,5,1,W,,23,13,3,,0,35,21,0,,0,,,,,,,,,,,
1998,CAR,1997-11-05,H,Detroit Red Wings,3,1,W,,29,10,1,,0,20,6,0,,0,,,,,,,,,,,
1998,CAR,1997-11-07,H,New York Islanders,2,3,L,,29,10,0,,0,24,12,0,,0,,,,,,,,,,,
2001,CAR,2000-10-29,H,St. Louis Blues,1,4,L,,32,16,0,,0,30,24,0,,1,,,,,,,,,,,
2001,CAR,2000-10-31,H,Tampa Bay Lightning,6,5,W,OT,32,12,2,,1,25,14,1,,0,,,,,,,,,,,
1999,CAR,1998-11-19,A,New Jersey Devils,2,3,L,OT,20,14,2,,0,41,10,0,,0,,,,,,,,,,,
1999,CAR,1998-11-20,H,Philadelphia Flyers,1,3,L,,19,19,0,,0,27,19,1,,0,,,,,,,,,,,
2016,CAR,2015-10-10,H,Detroit Red Wings,3,4,L,,47,4,1,6,0,19,14,0,1,0,67,35,65.7,57,25,69.5,21,23,47.7,57.8,84.7
2016,CAR,2015-10-13,H,Florida Panthers,1,4,L,,23,4,0,4,0,30,8,0,3,0,43,44,49.4,27,40,40.3,13,18,41.9,63.2,92.0
2000,CAR,1999-11-07,H,Washington Capitals,3,2,W,,22,6,0,,0,23,10,0,,0,,,,,,,,,,,
2000,CAR,1999-11-10,H,New York Islanders,0,2,L,,25,0,0,,0,18,4,0,,0,,,,,,,,,,,
2015,CAR,2014-10-11,A,New York Islanders,3,4,L,,24,29,2,,0,31,15,2,,0,31,45,40.8,21,36,36.8,17,24,41.5,39.1,97.9
2015,CAR,2014-10-14,H,Buffalo Sabres,3,4,L,SO,25,4,0,,0,26,6,0,,0,59,29,67.0,44,21,67.7,33,16,67.3,65.2,96.6
2013,CAR,2013-01-22,H,Tampa Bay Lightning,1,4,L,,36,16,1,,0,26,14,1,,0,54,32,62.8,38,25,60.3,29,30,49.2,68.6,83.3
2013,CAR,2013-01-24,H,Buffalo Sabres,6,3,W,,38,12,0,,1,33,8,0,,0,44,44,50.0,32,32,50.0,19,19,50.0,61.6,106.0
2009,CAR,2008-10-19,A,Anaheim Ducks,3,1,W,,24,13,0,,0,33,13,0,,0,28,55,33.7,24,47,33.8,19,21,47.5,46.2,113.1
2017,CAR,2016-10-13,A,Winnipeg Jets,4,5,L,OT,27,12,2,4,0,26,10,1,5,1,43,35,55.1,36,28,56.3,25,15,62.5,69.1,95.9
2004,CAR,2003-11-01,A,Tampa Bay Lightning,3,4,L,,36,19,0,,0,28,19,0,,0,,,,,,,,,,,
2004,CAR,2003-11-02,H,Toronto Maple Leafs,1,2,L,,25,22,1,,0,18,20,1,,0,,,,,,,,,,,
2010,CAR,2009-10-14,H,Pittsburgh Penguins,2,3,L,SO,29,8,0,,0,38,6,0,,0,,,,,0,,0,0,,,
2010,CAR,2009-10-17,A,New Jersey Devils,0,2,L,,26,13,0,,0,29,7,0,,0,34,36,48.6,30,30,50.0,13,20,39.4,50.0,90.5
2002,CAR,2001-10-30,H,Detroit Red Wings,2,5,L,,28,4,0,,0,22,12,0,,0,,,,,,,,,,,
2002,CAR,2001-11-01,A,St. Louis Blues,3,4,L,,33,12,1,,0,33,12,2,,0,,,,,,,,,,,
2008,CAR,2007-10-13,A,Montreal Canadiens,3,1,W,,38,10,2,,0,24,14,0,,0,,,,,,,,,,,
2008,CAR,2007-10-19,A,Pittsburgh Penguins,3,4,L,SO,32,19,1,,0,29,15,1,,0,,,,,,,,,,,
2012,CAR,2011-10-10,A,New Jersey Devils,2,4,L,,26,14,0,,0,26,14,1,,0,27,25,51.9,20,22,47.6,24,20,54.5,49.5,94.4
2003,CAR,2002-11-01,H,Montreal Canadiens,2,2,T,OT,38,13,0,,0,25,26,1,,0,,,,,,,,,,,
2003,CAR,2002-11-05,H,Philadelphia Flyers,1,2,L,OT,18,8,1,,0,31,10,0,,0,,,,,,,,,,,
2011,CAR,2010-10-17,A,Vancouver Canucks,1,5,L,,33,14,0,,0,28,14,2,,0,49,58,45.8,36,36,50.0,17,27,38.6,58.9,90.5
2014,CAR,2013-10-08,A,Pittsburgh Penguins,2,5,L,,34,15,0,,0,37,13,2,,0,50,52,49.0,37,43,46.3,22,35,38.6,36.7,98.8
2006,CAR,2005-10-26,H,Boston Bruins,4,3,W,OT,33,8,0,,0,27,12,2,,0,,,,,,,,,,,
