year,team,opp,date_game,player,decision,goals_against,shots_against,saves,save_pct,shutouts,pen_min,time_on_ice
2009,NYI,CAR,2009-02-19,Joey MacDonald,L,6,30,24,.800,0,0,60:00
2010,CGY,CAR,2010-02-03,Miikka Kiprusoff,W,1,28,27,.964,0,0,59:57
2002,MTL,CAR,2002-05-09,Jose Theodore,L,4,40,36,.900,0,0,63:14
2014,CAR,CBJ,2014-01-27,Anton Khudobin,W,2,24,22,.917,0,0,60:00
2010,CAR,EDM,2010-02-01,Cam Ward,L,4,27,23,.852,0,0,57:58
2009,CAR,BOS,2009-02-17,Cam Ward,L,4,33,29,.879,0,0,59:03
2009,CAR,BOS,2009-02-17,Empty Net,,1,1,0,.000,0,0,
2010,CAR,CHI,2010-01-30,Cam Ward,W,2,41,39,.951,0,0,60:00
2002,CAR,MTL,2002-05-05,Kevin Weekes,L,3,15,12,.800,0,0,59:21
2002,CAR,MTL,2002-05-05,Empty Net,,1,1,0,.000,0,0,
2006,CAR,BUF,2006-05-22,Cam Ward,W,3,19,16,.842,0,0,60:00
2012,CAR,COL,2012-02-10,Cam Ward,O,4,33,29,.879,0,0,64:58
2006,CAR,BUF,2006-05-20,Cam Ward,L,3,27,24,.889,0,0,58:29
2014,CAR,OTT,2014-01-25,Anton Khudobin,W,3,26,23,.885,0,0,60:00
2006,CAR,BUF,2006-05-24,Cam Ward,L,4,26,22,.846,0,0,32:55
2002,CAR,NJD,2002-04-27,Kevin Weekes,W,0,32,32,1.000,1,0,60:00
2012,CAR,MTL,2012-02-13,Cam Ward,W,3,33,30,.909,0,0,59:44
2011,CAR,TBL,2011-02-12,Cam Ward,O,4,41,37,.902,0,0,60:34
2009,CAR,BUF,2009-02-15,Cam Ward,W,0,36,36,1.000,1,0,58:45
2011,CAR,PHI,2011-02-10,Cam Ward,L,2,25,23,.920,0,0,59:27
2006,CAR,BUF,2006-05-24,Martin Gerber,,0,7,7,1.000,0,0,25:39
2001,CAR,NJD,2001-04-22,Arturs Irbe,L,5,39,34,.872,0,0,59:50
2010,CAR,NYI,2010-01-28,Cam Ward,W,1,27,26,.963,0,0,59:57
2001,CAR,NJD,2001-04-20,Arturs Irbe,W,2,39,37,.949,0,0,60:00
2002,CAR,NJD,2002-04-24,Kevin Weekes,W,2,42,40,.952,0,0,68:07
2002,CAR,MTL,2002-05-03,Kevin Weekes,W,0,25,25,1.000,1,0,60:00
2012,CAR,ANA,2012-02-08,Cam Ward,O,3,34,31,.912,0,0,62:11
2009,CAR,CBJ,2009-02-14,Cam Ward,L,4,19,15,.789,0,0,59:53
2011,CAR,NJD,2011-02-08,Cam Ward,O,3,34,31,.912,0,0,62:42
2006,CAR,NJD,2006-05-14,Cam Ward,W,1,18,17,.944,0,0,60:00
2009,CAR,CBJ,2009-02-14,Empty Net,,1,1,0,.000,0,0,
2002,CAR,NJD,2002-04-23,Kevin Weekes,,1,14,13,.929,0,0,39:03
2002,CAR,NJD,2002-04-23,Arturs Irbe,L,2,8,6,.750,0,0,20:00
2002,CAR,NJD,2002-04-21,Kevin Weekes,,1,23,22,.957,0,0,38:37
2002,CAR,NJD,2002-04-21,Arturs Irbe,L,3,12,9,.750,0,0,20:58
2001,CAR,NJD,2001-04-18,Arturs Irbe,W,2,34,32,.941,0,2,60:35
2014,CBJ,CAR,2014-01-27,Sergei Bobrovsky,L,3,35,32,.914,0,0,59:10
2010,EDM,CAR,2010-02-01,Jeff Deslauriers,W,2,35,33,.943,0,0,60:00
2009,BOS,CAR,2009-02-17,Tim Thomas,W,1,32,31,.969,0,0,60:00
2012,COL,CAR,2012-02-10,Jean-Sebastien Giguere,W,3,42,39,.929,0,0,64:58
